 , ,PSO, , ,GA, 
File,Error PSO,Running time PSO,Generations PSO,Error GA,Running time GA,Generations GA
ga-dem10_r25_1.in,0.40193425335305344,1038.9096448421478,5,0.36158526783358425,921.9454646110535,4
ga-dem10_r30_1.in,0.5614056905608242,1106.5027072429657,5,0.34586818221715937,930.8475246429443,4
ga-dem10_r45_1.in,0.18663571110960803,1086.6650264263153,5,0.2532157165410351,922.9877755641937,4
ga-dem10_r50_1.in,0.29646138548526607,1082.660272359848,5,0.24362867683540218,930.2399008274078,4
ga-dem1_r25_1.in,0.5142236070238978,1071.8640232086182,5,0.28481464290728564,923.7456650733948,4
ga-dem1_r30_1.in,0.36479930258901666,1076.6975173950195,5,0.1419120529698287,928.6310896873474,4
ga-dem1_r45_1.in,0.149087352011898,1094.8882439136505,5,0.42207406094530114,970.1055912971497,5
ga-dem1_r50_1.in,0.312653088857094,1056.4894263744354,5,0.3056458263646794,966.0349850654602,5
ga-dem2_r25_1.in,0.8114986791225625,1078.0079939365387,5,0.3629868528684897,935.7537274360657,4
ga-dem2_r30_1.in,0.3886414464590356,1118.7971229553223,5,0.6406785056338422,928.7821846008301,4
ga-dem2_r45_1.in,0.5286561745357102,1088.4621510505676,5,0.14913116813078464,971.3937249183655,5
ga-dem2_r50_1.in,0.21151792920214874,1078.5501925945282,5,0.2966926372934371,922.5404498577118,4
ga-dem3_r25_1.in,0.4322686874913917,1050.6915457248688,5,0.5446212326082184,935.115556716919,4
ga-dem3_r30_1.in,0.33762948006262133,1029.349846124649,5,0.49458277824590396,935.0499529838562,4
ga-dem3_r45_1.in,0.3813933693600508,1117.5627472400665,5,0.5375193819745339,906.4519877433777,4
ga-dem3_r50_1.in,0.24066996384089429,1094.9576580524445,5,0.30897205338050016,927.9215025901794,4
ga-dem4_r25_1.in,0.6644148977286405,1078.1149475574493,5,0.4337314526246783,989.4923243522644,5
ga-dem4_r30_1.in,0.3538394690797834,1063.0635085105896,5,0.44777466531466387,924.6253945827484,4
ga-dem4_r45_1.in,0.3169001625067428,1040.8731110095978,5,0.36419143660505215,922.4594264030457,4
ga-dem4_r50_1.in,0.2041866860896721,1102.3967907428741,5,0.36449768570952745,928.0725138187408,4
ga-dem5_r25_1.in,0.4530926878017532,1084.1049687862396,5,0.3093456754836014,932.0962586402893,4
ga-dem5_r30_1.in,0.49443888699094735,1098.9753513336182,5,0.3448646423216456,904.9872794151306,4
ga-dem5_r45_1.in,0.24273770623203472,1059.2463519573212,5,0.4804474923611723,918.369616985321,4
ga-dem5_r50_1.in,0.08010810753479376,1055.7970316410065,5,0.48021119800698975,912.2733097076416,4
ga-dem6_r25_1.in,0.5353600509863017,1088.3957343101501,5,0.4598022089594941,920.0749869346619,4
